Currency,Asks MEXC,Bids MEXC,Asks GateIo,Bids GateIo,Asks HUOBI,Bids HUOBI,Asks Ascendex,Bids Ascendex,diff,diff,diff,diff,diff,diff
POND,u,u,0.0095305,0.0094855,0.009505,0.009501,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.310%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
MTL,1.2082,1.2081,1.21257,1.20836,1.2107,1.2074,u,u,Ask:GateIo/Bid:MEXC: 0.370%,Ask:HUOBI/Bid:MEXC: 0.215%,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.428%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
WRX,u,u,0.1496,0.1482,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
POWR,u,u,0.1724,0.1706,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
VGX,0.1885,0.1883,0.18924,0.18906,u,u,u,u,Ask:GateIo/Bid:MEXC: 0.499%,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
CEEK,0.0709,0.0708,0.07068,0.07054,0.071,0.0707,u,u,Ask:MEXC/Bid:GateIo: 0.510%,Ask:MEXC/Bid:HUOBI: 0.282%,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.652%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
BFC,u,u,0.05565,0.05498,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
REQ,u,u,0.09248,0.09234,0.0925,0.0917,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.850%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
NKN,u,u,0.10625,0.106043,0.106213,0.106191,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.160%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
QKC,u,u,0.010536,0.010446,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
BOBA,u,u,0.18307,0.18231,0.1829,0.18,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 1.705%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
DOLA,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
DUSK,u,u,0.1583,0.158,0.1585,0.1582,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.316%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
